posx, posy, velx, vely, rot, lap, checkpoint, health, relposx, relposy, relvelx, relvely, relrot, enemyHealth, relCheckpointPosx, relCheckpointPosy, relCheckpointRot, gas, rotate, boost
494.163, 242.571, -0.564269, 0.854771, 289.656, 1, 1, 67, -83.9401, 36.5205, -2.40745, -6.08362, 3.85641, 66, -170.163, -104.571, -51.2286, 100, -1, 0
493.637, 242.702, -0.730015, 0.76387, 288.33, 1, 1, 67, -86.4899, 30.9906, -2.254, -6.00124, 1.3837, 66, -169.637, -104.702, -50.013, 100, -1, 0
492.931, 242.731, -0.892269, 0.679944, 286.983, 1, 1, 67, -88.8725, 25.5538, -2.10367, -5.92558, -0.940979, 66, -168.931, -104.731, -48.7801, 100, -1, 0
492.049, 242.662, -1.05105, 0.602888, 285.608, 1, 1, 67, -91.0914, 20.207, -1.95646, -5.85651, -3.1004, 66, -168.049, -104.662, -47.5227, 100, -1, 0
490.995, 242.498, -1.20636, 0.532598, 284.2, 1, 1, 67, -93.1494, 14.9461, -1.81237, -5.794, -5.08447, 66, -166.995, -104.498, -46.2366, 100, -1, 0
489.771, 242.246, -1.35823, 0.469035, 282.756, 1, 1, 67, -95.0488, 9.76613, -1.67138, -5.73798, -6.88916, 66, -165.771, -104.246, -44.9197, 100, -1, 0
488.379, 241.912, -1.50667, 0.412129, 281.273, 1, 1, 67, -96.7914, 4.66132, -1.5335, -5.68838, -8.51541, 66, -164.379, -103.912, -43.5714, 100, -1, 0
486.822, 241.501, -1.65173, 0.361845, 279.75, 1, 1, 67, -98.3788, -0.374435, -1.39869, -5.64518, -9.96768, 66, -162.822, -103.501, -42.1924, 100, 0, 0
484.973, 241.829, -1.79334, 0.318161, 279.75, 1, 1, 67, -99.6849, -6.15625, -1.267, -5.60837, -13.2835, 66, -160.973, -103.829, -42.5719, 100, 0, 0
482.983, 242.113, -1.93071, 0.275773, 279.75, 1, 1, 67, -100.859, -11.9012, -1.13927, -5.57264, -16.4793, 66, -158.983, -104.113, -42.9692, 100, 0, 0
480.855, 242.355, -2.06396, 0.234656, 279.75, 1, 1, 67, -94.9753, -15.2741, 3.5179, -4.00986, -18.8858, 62, -156.855, -104.355, -43.3853, 100, 0, 0
478.594, 242.556, -2.19321, 0.194773, 279.75, 1, 1, 67, -90.3107, -19.9294, 3.5731, -3.90633, -22.1939, 62, -154.594, -104.556, -43.8211, 100, 0, 0
476.204, 242.717, -2.31859, 0.156086, 279.75, 1, 1, 67, -85.6273, -24.5059, 3.62689, -3.80147, -25.7203, 62, -152.204, -104.717, -44.2777, 100, 0, 0
