posx,posy,velx,vely,rot,lap,checkpoint,health,relposx,relposy,relvelx,relvely,relrot,enemyHealth,relCheckpointPosx,relCheckpointPosy,relCheckpointRot,gas,rotate,boost
232.734, 651.933, 2.11091, -4.44154, 31.9063, 0, 0, 100, 125.413, 13.782, 0.431789, 0.261039, 51.8225, 100, 284.266, -244.933, 98.843, 100, 1, 0
233.84, 646.596, 2.15013, -4.473, 34.4412, 0, 0, 100, 126.957, 14.7698, 0.419872, 0.253859, 48.923, 100, 283.16, -239.596, 95.795, 100, 1, 0
235.02, 641.179, 2.19534, -4.49878, 36.9894, 0, 0, 100, 128.454, 15.7984, 0.401133, 0.242158, 45.999, 100, 281.98, -234.179, 92.7196, 100, 1, 0
236.283, 635.69, 2.2462, -4.51875, 39.5501, 0, 0, 100, 129.894, 16.8615, 0.375956, 0.225776, 43.0537, 100, 280.717, -228.69, 89.6184, 100, 1, 0
237.637, 630.137, 2.30235, -4.53274, 42.1224, 0, 0, 100, 131.268, 17.9531, 0.344725, 0.204498, 40.0897, 100, 279.363, -223.137, 86.4931, 100, 1, 0
239.091, 624.526, 2.36341, -4.54068, 44.7056, 0, 0, 100, 132.568, 19.0663, 0.30783, 0.178234, 37.1101, 100, 277.909, -217.526, 83.3456, 100, 1, 0
240.652, 618.867, 2.42897, -4.54235, 47.2987, 0, 0, 100, 133.785, 20.1942, 0.265707, 0.146719, 34.1176, 100, 276.348, -211.867, 80.1775, 100, 1, 0
242.327, 613.167, 2.49866, -4.53763, 49.9008, 0, 0, 100, 134.911, 21.3292, 0.21875, 0.109814, 31.1152, 100, 274.673, -206.167, 76.9908, 100, 1, 0
244.123, 607.435, 2.5721, -4.52642, 52.511, 0, 0, 100, 135.94, 22.4638, 0.167371, 0.0673862, 28.1058, 100, 272.877, -200.435, 73.7873, 100, 1, 0
246.045, 601.681, 2.64887, -4.50868, 55.1282, 0, 0, 100, 136.864, 23.5897, 0.111996, 0.0193629, 25.0924, 100, 270.955, -194.681, 70.569, 100, 1, 0
248.098, 595.914, 2.72857, -4.48431, 57.7517, 0, 0, 100, 137.678, 24.6988, 0.0530438, -0.0343833, 22.0779, 100, 268.902, -188.914, 67.3378, 100, 1, 0
250.289, 590.142, 2.81078, -4.45327, 60.3804, 0, 0, 100, 138.376, 25.7826, -0.00903916, -0.0939178, 19.0651, 100, 266.711, -183.142, 64.0957, 100, 0, 0
253.273, 585.59, 2.89512, -4.41552, 60.3804, 0, 0, 100, 138.3, 25.6183, -0.073848, -0.159303, 19.1253, 100, 263.727, -178.59, 63.7246, 100, 0, 0
256.342, 581.076, 2.97691, -4.37891, 60.3804, 0, 0, 100, 138.159, 25.3886, -0.136698, -0.222727, 19.2069, 100, 260.658, -174.076, 63.3559, 100, 0, 0
259.493, 576.598, 3.05624, -4.34339, 60.3804, 0, 0, 100, 137.956, 25.0955, -0.197662, -0.284249, 19.3096, 100, 257.507, -169.598, 62.9891, 100, 0, 0
262.723, 572.156, 3.1332, -4.30894, 60.3804, 0, 0, 100, 137.691, 24.7409, -0.256798, -0.343924, 19.4331, 100, 254.277, -165.156, 62.6238, 100, 0, 0
266.03, 567.748, 3.20784, -4.27552, 60.3804, 0, 0, 100, 137.367, 24.3266, -0.314159, -0.401809, 19.5771, 100, 250.97, -160.748, 62.2595, 100, 0, 0
269.412, 563.374, 3.28025, -4.24311, 60.3804, 0, 0, 100, 136.986, 23.8544, -0.369799, -0.457958, 19.7413, 100, 247.588, -156.374, 61.8957, 100, 0, 0
272.866, 559.032, 3.35049, -4.21167, 60.3804, 0, 0, 100, 136.549, 23.3262, -0.423771, -0.512423, 19.9255, 100, 244.134, -152.032, 61.5318, 100, 0, 0
276.39, 554.722, 3.41862, -4.18123, 60.3804, 0, 0, 100, 136.058, 22.7435, -0.476123, -0.565194, 20.1297, 100, 240.61, -147.722, 61.1673, 100, 0, 0
279.983, 550.441, 3.4847, -4.1517, 60.3804, 0, 0, 100, 135.515, 22.1081, -0.526904, -0.616382, 20.3539, 100, 237.017, -143.441, 60.8017, 100, 0, 0
